Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,SQ_INSTS_SMEM,SQ_INST_LEVEL_SMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
56,"void benchmark_func<int, 256, 8u, 10u>(int, int*) [clone .kd]",0,0,167,246483,246483,4194304,256,0,0,12,24,62848,0x7f695a32c280,0x7f685799bd40,131072,164190,18540840,477208113589076,477208113512928,477208115028934,477208115071814
57,"void benchmark_func<float, 256, 8u, 11u>(float, float*) [clone .kd]",0,0,170,246483,246483,4194304,256,0,0,12,24,63808,0x7f695a32c100,0x7f685799bd80,131072,165456,18677536,477208115094254,477208115028934,477208116521260,477208116587382
58,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 11u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,173,246483,246483,4194304,256,0,0,12,24,65024,0x7f6958087f80,0x7f685799bdc0,131072,150898,16975800,477208116601811,477208116521260,477208118093587,477208118158118
59,"void benchmark_func<double, 256, 8u, 11u>(double, double*) [clone .kd]",0,0,176,246483,246483,4194304,256,0,0,12,24,66240,0x7f6958087e00,0x7f685799be00,65536,141284,15831648,477208118171818,477208118093587,477208119638393,477208119702305
60,"void benchmark_func<__half2, 256, 8u, 11u>(__half2, __half2*) [clone .kd]",0,0,179,246483,246483,4194304,256,0,0,8,24,67456,0x7f6958087c80,0x7f685799be40,131072,167362,18762640,477208119715825,477208119638393,477208121160959,477208121225842
61,"void benchmark_func<int, 256, 8u, 11u>(int, int*) [clone .kd]",0,0,182,246483,246483,4194304,256,0,0,12,24,68928,0x7f6958087b00,0x7f685799be80,131072,171088,19171272,477208121239732,477208121160959,477208122683525,477208122747680
62,"void benchmark_func<float, 256, 8u, 12u>(float, float*) [clone .kd]",0,0,185,246483,246483,4194304,256,0,0,12,24,70144,0x7f6958087980,0x7f685799bec0,131072,148338,16557792,477208122769509,477208122683525,477208124169771,477208124235638
63,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 12u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,188,246483,246483,4194304,256,0,0,12,24,71616,0x7f6958087800,0x7f685799bf00,131072,173864,19398808,477208124249857,477208124169771,477208125713457,477208125775705
64,"void benchmark_func<double, 256, 8u, 12u>(double, double*) [clone .kd]",0,0,191,246483,246483,4194304,256,0,0,12,24,72832,0x7f6958087680,0x7f685799bf40,65536,134326,14988536,477208125788354,477208125713457,477208127270104,477208127317521
65,"void benchmark_func<__half2, 256, 8u, 12u>(__half2, __half2*) [clone .kd]",0,0,194,246483,246483,4194304,256,0,0,8,24,74048,0x7f695a32c500,0x7f685799bf80,131072,150668,16764096,477208127331591,477208127270104,477208128787550,477208128852268
66,"void benchmark_func<int, 256, 8u, 12u>(int, int*) [clone .kd]",0,0,197,246483,246483,4194304,256,0,0,12,24,75776,0x7f695a32c380,0x7f685799bfc0,131072,148638,16763704,477208128866148,477208128787550,477208130314436,477208130379276
67,"void benchmark_func<float, 256, 8u, 13u>(float, float*) [clone .kd]",0,0,200,246483,246483,4194304,256,0,0,12,24,76992,0x7f695a32c200,0x7f685799c000,131072,166714,18560928,477208130399865,477208130314436,477208131814922,477208131878793
68,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 13u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,203,246483,246483,4194304,256,0,0,12,24,78464,0x7f695a32c080,0x7f685799c040,131072,192972,21558608,477208131892073,477208131814922,477208133372048,477208133436900
69,"void benchmark_func<double, 256, 8u, 13u>(double, double*) [clone .kd]",0,0,206,246483,246483,4194304,256,0,0,12,24,79936,0x7f6958087f00,0x7f685799c080,65536,135414,15120160,477208133451300,477208133372048,477208134917974,477208134982707
70,"void benchmark_func<__half2, 256, 8u, 13u>(__half2, __half2*) [clone .kd]",0,0,209,246483,246483,4194304,256,0,0,8,24,81408,0x7f6958087d80,0x7f685799c0c0,131072,168080,18801944,477208134996087,477208134917974,477208136438620,477208136509634
71,"void benchmark_func<int, 256, 8u, 13u>(int, int*) [clone .kd]",0,0,212,246483,246483,4194304,256,0,0,12,24,83136,0x7f6958087c00,0x7f685799c100,131072,171226,19098888,477208136523694,477208136438620,477208137967267,477208138030482
72,"void benchmark_func<float, 256, 8u, 14u>(float, float*) [clone .kd]",0,0,215,246483,246483,4194304,256,0,0,12,24,84352,0x7f6958087a80,0x7f685799c140,131072,170864,19208688,477208138064421,477208137967267,477208139476233,477208139516300
73,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 14u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,218,246483,246483,4194304,256,0,0,12,24,85824,0x7f6958087900,0x7f685799c180,131072,168500,18899456,477208139529210,477208139476233,477208141009999,477208141074736
74,"void benchmark_func<double, 256, 8u, 14u>(double, double*) [clone .kd]",0,0,221,246483,246483,4194304,256,0,0,12,24,87296,0x7f6958087780,0x7f685799c1c0,65536,151874,16929536,477208141088496,477208141009999,477208142553845,477208142619853
75,"void benchmark_func<__half2, 256, 8u, 14u>(__half2, __half2*) [clone .kd]",0,0,224,246483,246483,4194304,256,0,0,12,24,88768,0x7f6958087600,0x7f685799c200,131072,180450,20222032,477208142633613,477208142553845,477208144077051,477208144142800
76,"void benchmark_func<int, 256, 8u, 14u>(int, int*) [clone .kd]",0,0,227,246483,246483,4194304,256,0,0,12,24,90752,0x7f695a32c480,0x7f685799c240,131072,175280,19572888,477208144157100,477208144077051,477208145603777,477208145668078
77,"void benchmark_func<float, 256, 8u, 15u>(float, float*) [clone .kd]",0,0,230,246483,246483,4194304,256,0,0,12,24,91968,0x7f695a32c300,0x7f685799c280,131072,169644,18940192,477208145689377,477208145603777,477208147115463,477208147182225
78,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 15u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,233,246483,246483,4194304,256,0,0,12,24,93440,0x7f695a32c180,0x7f685799c2c0,131072,170948,19193136,477208147195015,477208147115463,477208148652270,477208148719472
79,"void benchmark_func<double, 256, 8u, 15u>(double, double*) [clone .kd]",0,0,236,246483,246483,4194304,256,0,0,12,24,94912,0x7f695a32c000,0x7f685799c300,65536,131060,14724696,477208148733102,477208148652270,477208150207156,477208150270549
