Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
43,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 8u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,128,248167,248167,4194304,256,0,0,12,24,47552,0x7fc11282d600,0x7fc01219ba00,524288,19505703,2184666864,477232949449597,477232949408036,477232950984523,477232950996554
44,"void benchmark_func<double, 256, 8u, 8u>(double, double*) [clone .kd]",0,0,131,248167,248167,4194304,256,0,0,12,24,48512,0x7fc114adc480,0x7fc01219ba40,524288,18474694,2069118440,477232951024494,477232950984523,477232952532050,477232952552131
45,"void benchmark_func<__half2, 256, 8u, 8u>(__half2, __half2*) [clone .kd]",0,0,134,248167,248167,4194304,256,0,0,8,24,49472,0x7fc114adc300,0x7fc01219ba80,524288,27683433,3100428616,477232952574370,477232952532050,477232954014296,477232954027199
46,"void benchmark_func<int, 256, 8u, 8u>(int, int*) [clone .kd]",0,0,137,248167,248167,4194304,256,0,0,12,24,50688,0x7fc114adc180,0x7fc01219bac0,524288,29497418,3303652968,477232954054518,477232954014296,477232955538303,477232955551676
47,"void benchmark_func<float, 256, 8u, 9u>(float, float*) [clone .kd]",0,0,140,248167,248167,4194304,256,0,0,12,24,51648,0x7fc114adc000,0x7fc01219bb00,524288,28381489,3178682592,477232955587255,477232955538303,477232957023589,477232957039174
48,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 9u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,143,248167,248167,4194304,256,0,0,12,24,52864,0x7fc11282de80,0x7fc01219bb40,524288,19208093,2151306672,477232957068653,477232957023589,477232958586636,477232958602460
49,"void benchmark_func<double, 256, 8u, 9u>(double, double*) [clone .kd]",0,0,146,248167,248167,4194304,256,0,0,12,24,54080,0x7fc11282dd00,0x7fc01219bb80,524288,18315302,2051272088,477232958629570,477232958586636,477232960124723,477232960145397
50,"void benchmark_func<__half2, 256, 8u, 9u>(__half2, __half2*) [clone .kd]",0,0,149,248167,248167,4194304,256,0,0,8,24,55296,0x7fc11282db80,0x7fc01219bbc0,524288,28590487,3202135252,477232960165516,477232960124723,477232961624409,477232961636925
51,"void benchmark_func<int, 256, 8u, 9u>(int, int*) [clone .kd]",0,0,152,248167,248167,4194304,256,0,0,12,24,56768,0x7fc11282da00,0x7fc01219bc00,524288,29655577,3321427396,477232961664714,477232961624409,477232963149856,477232963162292
52,"void benchmark_func<float, 256, 8u, 10u>(float, float*) [clone .kd]",0,0,155,248167,248167,4194304,256,0,0,12,24,57728,0x7fc11282d880,0x7fc01219bc40,524288,27677424,3099810728,477232963199501,477232963149856,477232964632583,477232964644930
