Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
60,"void benchmark_func<__half2, 256, 8u, 11u>(__half2, __half2*) [clone .kd]",0,0,179,246845,246845,4194304,256,0,0,8,24,67456,0x7f9f7b44dc80,0x7f9e7ad9be40,1418714,1418714,1018640,11349720,65536,184250152,3276989,0,738778248,477210433532173,477210433450486,477210434958013,477210435026601
61,"void benchmark_func<int, 256, 8u, 11u>(int, int*) [clone .kd]",0,0,182,246845,246845,4194304,256,0,0,12,24,68928,0x7f9f7b44db00,0x7f9e7ad9be80,1458358,1458358,1016262,11666872,65536,205658344,3626779,0,824431892,477210435040231,477210434958013,477210436490019,477210436556288
62,"void benchmark_func<float, 256, 8u, 12u>(float, float*) [clone .kd]",0,0,185,246845,246845,4194304,256,0,0,12,24,70144,0x7f9f7b44d980,0x7f9e7ad9bec0,1419292,1419292,1015424,11354344,65536,175747628,3293142,0,704764384,477210436577848,477210436490019,477210437999626,477210438063816
63,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 12u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,188,246845,246845,4194304,256,0,0,12,24,71616,0x7f9f7b44d800,0x7f9e7ad9bf00,1498444,1498444,1017074,11987560,65536,235076002,3945483,0,942061648,477210438077325,477210437999626,477210439557393,477210439596553
64,"void benchmark_func<double, 256, 8u, 12u>(double, double*) [clone .kd]",0,0,191,246845,246845,4194304,256,0,0,12,24,72832,0x7f9f7b44d680,0x7f9e7ad9bf40,1523222,1523222,1017709,12185784,65536,229431725,4126569,0,919480104,477210439610623,477210439557393,477210441131479,477210441197928
65,"void benchmark_func<__half2, 256, 8u, 12u>(__half2, __half2*) [clone .kd]",0,0,194,246845,246845,4194304,256,0,0,8,24,74048,0x7f9f7d6ea500,0x7f9e7ad9bf80,1464910,1464910,1017609,11719288,65536,194572047,3660591,0,780045848,477210441213268,477210441131479,477210442667166,477210442732675
66,"void benchmark_func<int, 256, 8u, 12u>(int, int*) [clone .kd]",0,0,197,246845,246845,4194304,256,0,0,12,24,75776,0x7f9f7d6ea380,0x7f9e7ad9bfc0,1449077,1449077,1016637,11592624,65536,209143627,3558005,0,838342584,477210442746315,477210442667166,477210444196773,477210444262792
67,"void benchmark_func<float, 256, 8u, 13u>(float, float*) [clone .kd]",0,0,200,246845,246845,4194304,256,0,0,12,24,76992,0x7f9f7d6ea200,0x7f9e7ad9c000,1401352,1401352,1016715,11210824,65536,185648433,3137688,0,744375500,477210444296752,477210444196773,477210445693739,477210445763680
68,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 13u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,203,246845,246845,4194304,256,0,0,12,24,78464,0x7f9f7d6ea080,0x7f9e7ad9c040,1495690,1495690,1016939,11965528,65536,237820646,3939282,0,953047384,477210445777480,477210445693739,477210447257266,477210447322007
69,"void benchmark_func<double, 256, 8u, 13u>(double, double*) [clone .kd]",0,0,206,246845,246845,4194304,256,0,0,12,24,79936,0x7f9f7b44df00,0x7f9e7ad9c080,1498147,1498147,1016910,11985184,65536,223668393,3931704,0,896443332,477210447335176,477210447257266,477210448815353,477210448881833
70,"void benchmark_func<__half2, 256, 8u, 13u>(__half2, __half2*) [clone .kd]",0,0,209,246845,246845,4194304,256,0,0,8,24,81408,0x7f9f7b44dd80,0x7f9e7ad9c0c0,1455269,1455269,1021661,11642160,65536,199604570,3564878,0,800223452,477210448896693,477210448815353,477210450346399,477210450410700
71,"void benchmark_func<int, 256, 8u, 13u>(int, int*) [clone .kd]",0,0,212,246845,246845,4194304,256,0,0,12,24,83136,0x7f9f7b44dc00,0x7f9e7ad9c100,1455523,1455523,1018244,11644192,65536,210838746,3614900,0,845138140,477210450423860,477210450346399,477210451878726,477210451943527
72,"void benchmark_func<float, 256, 8u, 14u>(float, float*) [clone .kd]",0,0,215,246845,246845,4194304,256,0,0,12,24,84352,0x7f9f7b44da80,0x7f9e7ad9c140,1418211,1418211,1015715,11345696,65536,171882026,3280026,0,689312176,477210451964887,477210451878726,477210453385292,477210453449585
73,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 14u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,218,246845,246845,4194304,256,0,0,12,24,85824,0x7f9f7b44d900,0x7f9e7ad9c180,1482981,1482981,1015575,11863856,65536,225639694,3805388,0,904314908,477210453463735,477210453385292,477210454933619,477210454998202
